№;Дата;Оперативный_№_ПС_РП;Оперативный_№_ВЛ_КЛ;Время_откл;Длительность_простоя_часы;Причина_откл;Недоотпуск_кВт_ч;Кол_во_потр_физ;Кол_во_потр_юрид;Погода_тип;Температура_C;Скорость_ветра_мс;Вид_ремонта;Месяц;День_недели;Час;Сезон;Кол_во_откл
95;2025-01-23 19:49:16.370913942;5;161;20:19:00;4.86;МТЗ (КЗ);3006;1591;34;дождь;-8;6.2;текущий;1;3;20;Зима;1
97;2025-01-24 07:28:37.144763175;15;109;04:54:00;3.35;Обрыв провода;2243;233;238;ясно;-5;11.2;аварийный;1;4;4;Зима;1
100;2025-01-25 00:57:38.305537024;5;99;00:20:00;0.55;Повреждение опоры;2050;2766;350;дождь;-23;8.3;текущий;1;5;0;Зима;1
103;2025-01-25 18:26:39.466310873;15;110;00:50:00;2.27;МТЗ (перегруз);4594;890;487;облачно;2;4.0;аварийный;1;5;0;Зима;1
107;2025-01-26 17:45:21.014009339;101;54;11:04:00;0.8;Обрыв провода;4769;2824;302;облачно;11;9.3;текущий;1;6;11;Зима;1
108;2025-01-26 23:35:01.400933956;158;192;01:37:00;4.9;Повреждение кабеля;1408;2916;434;снег;26;8.2;аварийный;1;6;1;Зима;1
110;2025-01-27 11:14:22.174783188;7;51;16:04:00;6.39;РПВ успешно;3522;1363;272;ясно;-2;0.7;текущий;1;0;16;Зима;1
111;2025-01-27 17:04:02.561707805;15;43;15:10:00;0.7;МТЗ (перегруз);3495;1945;7;ясно;-22;5.2;плановый;1;0;15;Зима;1
114;2025-01-28 10:33:03.722481654;7;51;18:20:00;1.43;МТЗ (КЗ);3950;2591;404;облачно;-21;6.9;аварийный;1;1;18;Зима;1
115;2025-01-28 16:22:44.109406271;15;45;08:25:00;6.42;Повреждение кабеля;2336;1089;349;ясно;22;0.9;аварийный;1;1;8;Зима;1
118;2025-01-29 09:51:45.270180120;17;47;23:21:00;1.97;Обрыв провода;2175;374;153;ясно;30;2.0;текущий;1;2;23;Зима;1
121;2025-01-30 03:20:46.430953969;102;38;02:50:00;2.02;МТЗ (КЗ);4630;2085;201;облачно;-9;3.2;аварийный;1;3;2;Зима;1
122;2025-01-30 09:10:26.817878585;101;13;19:24:00;5.46;Обрыв провода;2206;1179;110;облачно;-4;8.8;текущий;1;3;19;Зима;1
123;2025-01-30 15:00:07.204803202;105;42;08:36:00;2.97;Повреждение кабеля;1811;1985;314;гроза;11;14.0;аварийный;1;3;8;Зима;1
124;2025-01-30 20:49:47.591727818;158;112;03:29:00;1.57;МТЗ (КЗ);3785;2880;136;ясно;25;0.3;текущий;1;3;3;Зима;1
129;2025-02-01 01:58:09.526350900;158;113;23:37:00;5.38;Плановый ремонт;896;2772;391;облачно;19;11.5;аварийный;2;5;23;Зима;1
130;2025-02-01 07:47:49.913275517;105;20;16:11:00;1.01;Повреждение кабеля;4465;1583;292;облачно;10;4.8;текущий;2;5;16;Зима;1
131;2025-02-01 13:37:30.300200133;3;10;04:22:00;4.44;МТЗ (перегруз);3763;1629;320;ясно;-17;11.4;текущий;2;5;4;Зима;1
133;2025-02-02 01:16:51.074049366;15;95;16:04:00;6.66;Авария;4479;1918;375;гроза;8;2.7;аварийный;2;6;16;Зима;1
137;2025-02-03 00:35:32.621747832;5;14;02:20:00;1.57;МТЗ (перегруз);127;2631;131;ясно;16;5.9;плановый;2;0;2;Зима;1
138;2025-02-03 06:25:13.008672448;15;32;18:37:00;4.36;МТЗ (КЗ);1042;2722;144;снег;29;8.0;аварийный;2;0;18;Зима;1
139;2025-02-03 12:14:53.395597064;2;179;05:05:00;2.73;Обрыв провода;2085;487;230;облачно;3;2.3;аварийный;2;0;5;Зима;1
140;2025-02-03 18:04:33.782521681;2;33;03:21:00;5.74;РПВ успешно;1915;2922;117;дождь;5;5.7;аварийный;2;0;3;Зима;1
145;2025-02-04 23:12:55.717144763;13;130;18:50:00;4.57;Обрыв провода;2166;1693;10;гроза;14;8.8;аварийный;2;1;18;Зима;1
148;2025-02-05 16:41:56.877918612;13;104;17:24:00;2.12;Обрыв провода;2780;365;495;облачно;30;0.3;текущий;2;2;17;Зима;1
150;2025-02-06 04:21:17.651767845;5;51;13:39:00;6.74;Плановый ремонт;1842;2871;100;гроза;20;2.8;плановый;2;3;13;Зима;1
151;2025-02-06 10:10:58.038692461;158;55;18:39:00;4.9;МТЗ (КЗ);1382;211;435;дождь;0;5.0;аварийный;2;3;18;Зима;1
154;2025-02-07 03:39:59.199466311;102;162;16:42:00;0.36;Плановый ремонт;1255;673;24;облачно;-20;0.5;аварийный;2;4;16;Зима;1
156;2025-02-07 15:19:19.973315543;7;156;17:20:00;4.17;Авария;3482;698;147;облачно;2;8.0;аварийный;2;4;17;Зима;1
157;2025-02-07 21:09:00.360240160;13;179;23:18:00;2.86;РПВ успешно;3426;438;476;облачно;14;8.8;аварийный;2;4;23;Зима;1
164;2025-02-09 13:56:43.068712475;3;157;22:38:00;6.05;МТЗ (КЗ);1951;2219;379;дождь;29;2.3;текущий;2;6;22;Зима;1
166;2025-02-10 01:36:03.842561707;2;67;23:22:00;5.41;МТЗ (перегруз);3360;2636;50;облачно;21;10.8;плановый;2;0;23;Зима;1
172;2025-02-11 12:34:06.164109406;15;55;15:17:00;0.2;МТЗ (перегруз);2248;156;111;ясно;10;9.6;текущий;2;1;15;Зима;1
175;2025-02-12 06:03:07.324883255;17;130;02:22:00;0.37;Повреждение опоры;854;943;255;облачно;8;12.9;аварийный;2;2;2;Зима;1
178;2025-02-12 23:32:08.485657104;15;120;13:22:00;6.42;МТЗ (КЗ);3236;2583;8;облачно;19;6.0;аварийный;2;2;13;Зима;1
180;2025-02-13 11:11:29.259506337;7;186;12:33:00;2.25;МТЗ (перегруз);2225;2099;355;облачно;8;8.3;текущий;2;3;12;Зима;1
182;2025-02-13 22:50:50.033355570;7;86;20:26:00;7.21;Повреждение опоры;4313;619;267;облачно;27;2.6;плановый;2;3;20;Зима;1
183;2025-02-14 04:40:30.420280186;11;190;13:01:00;1.41;Обрыв провода;2916;702;291;дождь;3;5.8;аварийный;2;4;13;Зима;1
184;2025-02-14 10:30:10.807204803;101;187;06:39:00;4.57;РПВ успешно;2761;767;405;дождь;7;4.0;текущий;2;4;6;Зима;1
185;2025-02-14 16:19:51.194129419;110;81;12:42:00;2.74;Обрыв провода;1574;2130;200;ясно;-25;7.4;текущий;2;4;12;Зима;1
186;2025-02-14 22:09:31.581054036;2;35;02:49:00;6.42;Повреждение кабеля;3599;111;353;ясно;11;1.4;плановый;2;4;2;Зима;1
187;2025-02-15 03:59:11.967978652;7;57;22:48:00;1.56;РПВ успешно;265;348;263;облачно;-9;9.9;текущий;2;5;22;Зима;1
189;2025-02-15 15:38:32.741827885;5;12;14:58:00;7.9;Плановый ремонт;96;787;15;снег;-3;8.3;аварийный;2;5;14;Зима;1
190;2025-02-15 21:28:13.128752501;17;117;06:08:00;1.62;МТЗ (перегруз);876;736;476;облачно;4;0.8;аварийный;2;5;6;Зима;1
194;2025-02-16 20:46:54.676450967;11;188;12:33:00;7.09;РПВ успешно;4328;373;38;ясно;23;8.1;текущий;2;6;12;Зима;1
197;2025-02-17 14:15:55.837224816;11;126;01:54:00;3.75;Авария;4396;768;268;облачно;6;14.0;аварийный;2;0;1;Зима;1
198;2025-02-17 20:05:36.224149433;13;190;16:28:00;0.4;РПВ успешно;321;1781;238;ясно;4;6.3;аварийный;2;0;16;Зима;1
200;2025-02-18 07:44:56.997998665;105;173;13:55:00;2.37;МТЗ (КЗ);4438;441;192;снег;-11;6.4;аварийный;2;1;13;Зима;1
202;2025-02-18 19:24:17.771847898;7;37;04:42:00;4.75;Авария;3465;20;61;облачно;-1;11.2;аварийный;2;1;4;Зима;1
203;2025-02-19 01:13:58.158772515;13;63;21:52:00;6.66;МТЗ (перегруз);4371;834;217;ясно;32;11.7;аварийный;2;2;21;Зима;1
204;2025-02-19 07:03:38.545697131;17;177;08:34:00;4.82;РПВ успешно;1964;2476;177;облачно;-9;2.3;плановый;2;2;8;Зима;1
205;2025-02-19 12:53:18.932621747;3;125;14:24:00;4.78;РПВ успешно;3731;1300;104;ясно;33;1.9;плановый;2;2;14;Зима;1
211;2025-02-20 23:51:21.254169446;3;124;14:37:00;2.15;Обрыв провода;963;463;36;ясно;-13;13.4;плановый;2;3;14;Зима;1
212;2025-02-21 05:41:01.641094062;13;62;18:57:00;4.61;Повреждение кабеля;3980;2006;236;дождь;-2;12.0;текущий;2;4;18;Зима;1
221;2025-02-23 10:08:05.123415610;9;45;18:30:00;6.62;МТЗ (перегруз);3558;1584;414;ясно;-24;12.5;текущий;2;6;18;Зима;1
222;2025-02-23 15:57:45.510340227;13;46;16:40:00;5.09;МТЗ (КЗ);4845;457;343;дождь;22;1.6;текущий;2;6;16;Зима;1
225;2025-02-24 09:26:46.671114076;11;79;04:28:00;6.33;МТЗ (перегруз);4629;1275;323;ясно;-9;11.6;текущий;2;0;4;Зима;1
227;2025-02-24 21:06:07.444963309;3;50;13:46:00;7.75;Обрыв провода;2478;2517;6;ясно;7;4.9;аварийный;2;0;13;Зима;1
230;2025-02-25 14:35:08.605737158;15;29;03:16:00;0.91;Повреждение опоры;3392;896;284;облачно;26;12.6;текущий;2;1;3;Зима;1
231;2025-02-25 20:24:48.992661774;9;27;02:16:00;7.71;МТЗ (перегруз);1038;30;302;облачно;33;14.5;текущий;2;1;2;Зима;1
232;2025-02-26 02:14:29.379586391;9;1;05:14:00;5.99;МТЗ (перегруз);3106;802;279;ясно;-11;7.1;текущий;2;2;5;Зима;1
233;2025-02-26 08:04:09.766511007;5;145;20:07:00;6.19;Повреждение опоры;4494;969;427;ясно;34;14.5;аварийный;2;2;20;Зима;1
235;2025-02-26 19:43:30.540360240;2;17;11:19:00;3.5;МТЗ (перегруз);1066;2783;116;облачно;-18;4.7;аварийный;2;2;11;Зима;1
236;2025-02-27 01:33:10.927284856;102;64;17:45:00;7.8;Обрыв провода;778;2858;101;снег;-15;7.2;аварийный;2;3;17;Зима;1
237;2025-02-27 07:22:51.314209473;5;46;14:15:00;3.91;МТЗ (перегруз);2770;723;423;ясно;34;1.1;текущий;2;3;14;Зима;1
239;2025-02-27 19:02:12.088058706;13;116;21:38:00;1.15;РПВ успешно;1759;2179;497;дождь;16;2.5;аварийный;2;3;21;Зима;1
242;2025-02-28 12:31:13.248832555;158;73;06:30:00;4.38;Обрыв провода;3961;1723;347;дождь;21;12.2;аварийный;2;4;6;Зима;1
250;2025-03-02 11:08:36.344229486;158;12;22:11:00;1.36;Повреждение опоры;2219;759;355;дождь;3;11.8;текущий;3;6;22;Весна;1
254;2025-03-03 10:27:17.891927952;3;105;02:27:00;1.68;Повреждение кабеля;402;912;331;ясно;-5;10.9;текущий;3;0;2;Весна;1
259;2025-03-04 15:35:39.826551034;101;179;08:35:00;0.33;МТЗ (КЗ);3861;2635;334;снег;-20;9.8;плановый;3;1;8;Весна;1
260;2025-03-04 21:25:20.213475650;13;12;02:44:00;3.78;Повреждение опоры;2964;803;7;облачно;4;2.7;аварийный;3;1;2;Весна;1
262;2025-03-05 09:04:40.987324883;152;166;12:40:00;2.05;Повреждение опоры;1696;23;230;ясно;-24;1.4;текущий;3;2;12;Весна;1
266;2025-03-06 08:23:22.535023349;101;168;11:55:00;3.23;МТЗ (перегруз);3516;639;269;ясно;3;5.1;плановый;3;3;11;Весна;1
268;2025-03-06 20:02:43.308872582;9;1;21:19:00;3.1;Повреждение кабеля;2784;2030;203;облачно;23;10.6;аварийный;3;3;21;Весна;1
272;2025-03-07 19:21:24.856571047;15;130;08:36:00;7.5;МТЗ (перегруз);1108;207;484;снег;-21;1.5;текущий;3;4;8;Весна;1
277;2025-03-09 00:29:46.791194129;5;50;06:30:00;2.11;РПВ успешно;968;1327;339;ясно;19;2.2;плановый;3;6;6;Весна;1
279;2025-03-09 12:09:07.565043362;152;129;22:07:00;1.33;МТЗ (перегруз);1568;95;174;облачно;29;14.7;аварийный;3;6;22;Весна;1
280;2025-03-09 17:58:47.951967978;102;145;07:46:00;4.61;МТЗ (перегруз);1913;354;301;снег;-25;3.2;текущий;3;6;7;Весна;1
283;2025-03-10 11:27:49.112741828;11;194;17:05:00;2.61;Повреждение опоры;4833;2838;72;ясно;5;11.1;плановый;3;0;17;Весна;1
292;2025-03-12 15:54:52.595063375;158;199;20:14:00;5.08;Повреждение кабеля;2240;926;402;ясно;-1;8.9;текущий;3;2;20;Весна;1
294;2025-03-13 03:34:13.368912608;9;99;07:45:00;5.18;Обрыв провода;3898;1036;84;снег;22;12.7;плановый;3;3;7;Весна;1
296;2025-03-13 15:13:34.142761841;152;48;04:14:00;4.32;Повреждение кабеля;993;2400;325;дождь;18;14.3;аварийный;3;3;4;Весна;1
297;2025-03-13 21:03:14.529686457;2;80;14:52:00;7.19;МТЗ (перегруз);764;60;270;ясно;-13;5.3;аварийный;3;3;14;Весна;1
299;2025-03-14 08:42:35.303535690;110;27;14:27:00;4.36;МТЗ (КЗ);1731;11;432;гроза;0;1.8;аварийный;3;4;14;Весна;1
301;2025-03-14 20:21:56.077384923;13;159;06:55:00;6.37;МТЗ (перегруз);85;1117;451;ясно;28;8.3;аварийный;3;4;6;Весна;1
307;2025-03-16 07:19:58.398932622;5;15;09:23:00;3.35;Повреждение опоры;2681;2209;207;облачно;1;11.7;аварийный;3;6;9;Весна;1
311;2025-03-17 06:38:39.946631087;110;183;17:04:00;1.43;Обрыв провода;1299;682;118;облачно;-4;0.4;текущий;3;0;17;Весна;1
314;2025-03-18 00:07:41.107404936;15;77;01:34:00;4.82;Повреждение кабеля;1627;2694;166;дождь;-15;14.9;аварийный;3;1;1;Весна;1
315;2025-03-18 05:57:21.494329553;7;102;09:31:00;2.27;МТЗ (перегруз);4889;1774;352;облачно;-17;4.9;аварийный;3;1;9;Весна;1
317;2025-03-18 17:36:42.268178786;101;60;01:59:00;6.42;МТЗ (перегруз);2873;1745;49;облачно;18;4.9;аварийный;3;1;1;Весна;1
324;2025-03-20 10:24:24.976651100;11;186;03:04:00;1.48;Повреждение кабеля;1066;320;207;облачно;4;6.8;текущий;3;3;3;Весна;1
329;2025-03-21 15:32:46.911274183;11;115;07:53:00;7.94;Плановый ремонт;413;2378;120;облачно;-6;9.4;аварийный;3;4;7;Весна;1
331;2025-03-22 03:12:07.685123415;11;38;19:33:00;0.6;МТЗ (перегруз);1651;2418;340;ясно;31;8.3;аварийный;3;5;19;Весна;1
340;2025-03-24 07:39:11.167444963;17;49;09:37:00;6.56;МТЗ (КЗ);3337;1703;461;дождь;-10;3.2;плановый;3;0;9;Весна;1
342;2025-03-24 19:18:31.941294196;9;130;02:17:00;7.66;РПВ успешно;4411;1570;449;ясно;28;4.7;текущий;3;0;2;Весна;1
343;2025-03-25 01:08:12.328218812;158;125;19:02:00;7.63;Повреждение опоры;2579;2974;481;облачно;-11;14.4;текущий;3;1;19;Весна;1
349;2025-03-26 12:06:14.649766511;158;160;10:01:00;5.24;МТЗ (перегруз);2003;2835;344;ясно;-15;11.3;текущий;3;2;10;Весна;1
350;2025-03-26 17:55:55.036691127;2;83;08:34:00;0.69;Обрыв провода;3615;892;262;облачно;34;9.3;текущий;3;2;8;Весна;1
351;2025-03-26 23:45:35.423615744;152;103;19:28:00;5.03;РПВ успешно;3352;1518;115;облачно;9;5.5;аварийный;3;2;19;Весна;1
355;2025-03-27 23:04:16.971314209;102;62;20:53:00;6.34;РПВ успешно;950;2122;12;ясно;24;9.4;аварийный;3;3;20;Весна;1
356;2025-03-28 04:53:57.358238826;110;188;10:20:00;6.77;МТЗ (перегруз);2607;1741;33;ясно;34;9.8;плановый;3;4;10;Весна;1
361;2025-03-29 10:02:19.292861908;101;120;08:40:00;5.54;МТЗ (КЗ);1170;251;313;ясно;14;6.9;текущий;3;5;8;Весна;1
366;2025-03-30 15:10:41.227484990;3;173;18:04:00;5.93;РПВ успешно;2198;1041;332;ясно;-3;10.7;аварийный;3;6;18;Весна;1
367;2025-03-30 21:00:21.614409606;3;17;04:19:00;5.93;МТЗ (КЗ);415;1684;435;дождь;-19;11.8;аварийный;3;6;4;Весна;1
371;2025-03-31 20:19:03.162108072;7;38;14:31:00;4.17;Плановый ремонт;3769;369;408;гроза;-11;3.1;аварийный;3;0;14;Весна;1
376;2025-04-02 01:27:25.096731154;102;10;20:35:00;2.41;Авария;2471;790;180;снег;-10;12.2;текущий;4;2;20;Весна;1
377;2025-04-02 07:17:05.483655770;17;17;07:17:00;1.87;МТЗ (КЗ);4991;2181;472;ясно;26;3.6;аварийный;4;2;7;Весна;1
378;2025-04-02 13:06:45.870580387;15;113;23:20:00;2.36;Повреждение опоры;88;2554;267;снег;-8;9.5;аварийный;4;2;23;Весна;1
382;2025-04-03 12:25:27.418278852;9;86;21:42:00;2.23;РПВ успешно;3587;779;28;облачно;26;12.3;аварийный;4;3;21;Весна;1
389;2025-04-05 05:13:10.126751167;105;23;06:43:00;5.13;Обрыв провода;411;2186;363;дождь;-25;4.2;аварийный;4;5;6;Весна;1
403;2025-04-08 14:48:35.543695797;5;162;20:56:00;5.46;Обрыв провода;3945;1134;185;ясно;-22;10.8;плановый;4;1;20;Весна;1
408;2025-04-09 19:56:57.478318879;158;174;03:59:00;6.37;МТЗ (перегруз);3240;2640;3;облачно;-23;1.0;текущий;4;2;3;Весна;1
414;2025-04-11 06:54:59.799866577;11;147;16:45:00;1.28;Повреждение кабеля;591;1347;485;ясно;10;7.8;аварийный;4;4;16;Весна;1
415;2025-04-11 12:44:40.186791194;2;113;22:32:00;0.8;МТЗ (перегруз);2860;485;250;дождь;31;14.0;текущий;4;4;22;Весна;1
419;2025-04-12 12:03:21.734489659;158;47;13:59:00;3.13;РПВ успешно;3521;846;499;ясно;24;2.5;текущий;4;5;13;Весна;1
425;2025-04-13 23:01:24.056037358;105;46;18:04:00;6.75;МТЗ (перегруз);2146;2974;73;снег;10;2.0;аварийный;4;6;18;Весна;1
431;2025-04-15 09:59:26.377585056;11;108;19:23:00;3.83;МТЗ (перегруз);1481;885;105;ясно;2;4.1;аварийный;4;1;19;Весна;1
437;2025-04-16 20:57:28.699132754;5;45;03:55:00;0.47;Повреждение кабеля;924;1474;20;облачно;7;11.6;аварийный;4;2;3;Весна;1
438;2025-04-17 02:47:09.086057372;3;148;23:14:00;7.07;МТЗ (КЗ);3787;2549;375;ясно;31;7.4;плановый;4;3;23;Весна;1
439;2025-04-17 08:36:49.472981988;2;165;23:48:00;3.77;Авария;4529;1941;444;ясно;24;10.8;аварийный;4;3;23;Весна;1
440;2025-04-17 14:26:29.859906604;158;33;16:23:00;1.01;Повреждение опоры;2140;1714;422;дождь;-9;9.2;аварийный;4;3;16;Весна;1
443;2025-04-18 07:55:31.020680454;158;112;01:09:00;3.75;МТЗ (КЗ);4782;597;343;дождь;12;12.1;аварийный;4;4;1;Весна;1
444;2025-04-18 13:45:11.407605070;17;49;06:20:00;1.4;МТЗ (КЗ);2841;2270;78;снег;2;3.8;плановый;4;4;6;Весна;1
449;2025-04-19 18:53:33.342228152;105;44;00:41:00;4.03;МТЗ (перегруз);1864;2658;378;ясно;-7;6.6;аварийный;4;5;0;Весна;1
450;2025-04-20 00:43:13.729152768;3;152;08:35:00;2.28;МТЗ (КЗ);4704;1977;237;облачно;16;6.7;текущий;4;6;8;Весна;1
451;2025-04-20 06:32:54.116077384;105;109;02:26:00;2.29;Авария;3026;2277;128;ясно;-18;13.4;текущий;4;6;2;Весна;1
452;2025-04-20 12:22:34.503002000;110;198;13:53:00;6.87;МТЗ (перегруз);4008;1162;62;облачно;27;10.0;текущий;4;6;13;Весна;1
453;2025-04-20 18:12:14.889926618;158;59;22:26:00;5.53;МТЗ (перегруз);2293;1949;417;ясно;-21;14.6;аварийный;4;6;22;Весна;1
454;2025-04-21 00:01:55.276851234;158;178;05:18:00;6.1;Авария;3040;1397;363;ясно;-2;7.4;плановый;4;0;5;Весна;1
456;2025-04-21 11:41:16.050700466;152;156;23:25:00;0.9;МТЗ (перегруз);1765;2603;40;дождь;-8;11.2;текущий;4;0;23;Весна;1
463;2025-04-23 04:28:58.759172782;102;66;02:39:00;0.13;Повреждение кабеля;2551;2258;147;ясно;-18;1.1;аварийный;4;2;2;Весна;1
466;2025-04-23 21:57:59.919946630;17;191;20:34:00;6.13;МТЗ (КЗ);509;560;392;дождь;-13;13.5;текущий;4;2;20;Весна;1
468;2025-04-24 09:37:20.693795864;9;91;01:55:00;3.1;МТЗ (перегруз);4646;849;189;ясно;4;12.0;аварийный;4;3;1;Весна;1
469;2025-04-24 15:27:01.080720480;3;88;13:25:00;7.73;МТЗ (перегруз);4138;92;109;снег;16;10.5;плановый;4;3;13;Весна;1
477;2025-04-26 14:04:24.176117412;152;61;03:39:00;2.18;МТЗ (перегруз);3497;2877;88;дождь;27;4.5;аварийный;4;5;3;Весна;1
479;2025-04-27 01:43:44.949966644;110;8;01:40:00;2.71;МТЗ (КЗ);3248;1288;182;облачно;23;4.3;аварийный;4;6;1;Весна;1
480;2025-04-27 07:33:25.336891260;15;50;20:20:00;0.6;Повреждение опоры;2036;2054;200;снег;-22;13.0;аварийный;4;6;20;Весна;1
