№;Дата;Оперативный_№_ПС_РП;Оперативный_№_ВЛ_КЛ;Время_откл;Время_вкл;Длительность_простоя_часы;Длительность_простоя_сек;Причина_откл;Недоотпуск_кВт_ч;Кол_во_потр_физ;Кол_во_потр_юрид;Погода_тип;Температура_C;Скорость_ветра_мс;Осадки;Потребители;Вид_ремонта;Балансовая_принадлежность
72;2025-11-08;101;2;21:47:00;06:49:07;6.8354;24607;Отключение МТЗ (КЗ);58862;2148;335;дождь;-5;4.3;дождь;ул. Абая;текущий;РЭС
73;2025-11-17;110;8;22:47:00;03:42:08;3.719;13388;Отключение МТЗ (КЗ);14364;2456;142;туман;4;0.9;нет;ул. Толе би;плановый;ЖКХ
74;2025-08-12;152;89;11:14:00;16:02:21;16.0559;57801;Падение дерева;10179;676;22;облачно;19;3.0;нет;мкр. Жастар;аварийный;РЭС
75;2025-09-01;5;1;22:52:00;05:44:36;5.7601;20736;Повреждение трансформатора;35025;2268;320;туман;21;1.3;нет;промзона;аварийный;ГорЭлектроСеть
76;2025-10-21;17;9;21:36:00;21:53:11;0.2865;1031;РПВ успешно;520;384;121;снегопад;5;8.2;снег;ул. Валиханова;аварийный;ГорЭлектроСеть
77;2025-02-24;152;1;16:46:00;22:53:09;6.1193;22029;Повреждение трансформатора;25828;2046;199;снегопад;-6;7.1;снег;мкр. Жастар;аварийный;ГорЭлектроСеть
78;2025-10-23;152;45;20:21:00;09:08:26;9.1573;32966;Отключение МТЗ (перегруз);7424;1030;8;гроза;10;7.8;дождь;ул. Сатпаева;плановый;РЭС
79;2025-08-09;17;1;15:08:00;20:57:05;20.9681;75485;РПВ успешно;64147;2092;175;туман;32;0.3;нет;Северный мкр;плановый;Частный
80;2025-11-15;2;2;06:33:00;19:09:25;19.1736;69025;Обрыв провода;168425;1028;375;снегопад;-4;10.9;снег;ул. Гагарина;плановый;РЭС
81;2025-07-20;13;89;10:05:00;22:05:39;22.1108;79599;Повреждение кабеля;120921;199;305;пасмурно;32;2.9;нет;ул. Жансугурова;аварийный;Частный
82;2025-05-12;105;178;00:45:00;08:43:42;7.9784;28722;Повреждение изолятора;15311;1704;63;гроза;21;11.0;дождь;мкр. Запад;плановый;Частный
83;2025-02-24;3;15;14:13:00;19:54:32;19.9258;71732;Повреждение кабельной линии;33265;2068;51;снег;-21;4.6;снег;ул. Лермонтова;текущий;Частный
84;2025-09-10;9;178;02:22:00;17:06:36;14.7436;53076;Плановый ремонт;86654;1858;314;пасмурно;17;2.2;нет;ТЭЦ-2;текущий;ГорЭлектроСеть
85;2025-10-24;2;15;19:43:00;18:10:51;18.1977;65511;РПВ успешно;106583;1129;365;облачно;2;3.2;нет;ул. Абая;аварийный;ГорЭлектроСеть
86;2025-08-19;3;15;05:37:00;22:45:51;17.1477;61731;Наезд авто на опору;100379;936;329;пасмурно;32;6.0;нет;ул. Лермонтова;аварийный;РЭС
87;2025-07-23;15;9;06:00:00;08:16:34;2.2762;8194;Повреждение кабеля;7269;548;194;ясно;25;2.9;нет;ул. Валиханова;текущий;ГорЭлектроСеть
88;2025-04-06;105;132;16:40:00;09:16:57;9.2992;33477;Наезд авто на опору;9409;428;56;гроза;10;14.8;дождь;ул. Жансугурова;капитальный;ЖКХ
89;2025-08-11;9;2;08:16:00;14:13:42;5.9617;21462;Повреждение опоры;41706;2175;300;снегопад;28;11.4;снег;ул. Сатпаева;аварийный;ЖКХ
90;2025-09-22;2;45;07:27:00;22:13:33;14.7759;53193;Отключение МТЗ;85409;574;440;пасмурно;18;5.6;нет;ул. Толе би;текущий;ГорЭлектроСеть
91;2025-12-10;17;45;14:43:00;23:16:45;8.5626;30825;Повреждение изолятора;66463;733;372;гроза;-10;9.0;дождь;ул. Абая;аварийный;Частный
92;2025-11-22;101;45;01:06:00;02:45:05;1.6516;5945;Повреждение опоры;8460;914;271;снегопад;-4;8.3;снег;ул. Пушкина;плановый;РЭС
93;2025-01-06;110;32;10:25:00;23:54:36;13.4935;48576;Падение дерева;66737;1962;282;дождь;-25;5.9;дождь;ул. Пушкина;капитальный;ЖКХ
94;2025-09-06;11;9;06:36:00;13:38:16;7.0379;25336;Повреждение кабельной линии;40694;1455;391;туман;16;1.9;нет;ул. Валиханова;капитальный;ГорЭлектроСеть
95;2025-10-01;11;178;05:24:00;14:00:36;8.6101;30996;Плановый ремонт;42635;1072;243;снегопад;14;4.2;снег;ул. Сатпаева;капитальный;ЖКХ
96;2025-04-04;110;32;14:32:00;15:11:04;15.2014;54724;Повреждение кабельной линии;28144;1074;66;гроза;8;8.0;дождь;Центральный р-н;плановый;ЖКХ
97;2025-07-04;3;89;13:06:00;19:51:06;19.8684;71526;Отключение МТЗ (перегруз);78851;618;232;снег;25;2.2;снег;ул. Жырау;текущий;Частный
98;2025-01-03;11;8;13:13:00;18:49:02;5.6008;20162;Повреждение трансформатора;40535;1441;390;снегопад;-19;7.6;снег;ТЭЦ-2;текущий;ГорЭлектроСеть
99;2025-03-14;158;8;15:58:00;21:01:37;5.0603;18217;Повреждение трансформатора;13275;1034;153;снегопад;2;9.7;снег;промзона;аварийный;Частный
100;2025-02-23;13;2;08:08:00;23:50:42;23.8618;85902;Повреждение трансформатора;95957;1917;208;облачно;-14;4.8;нет;ул. Валиханова;капитальный;ГорЭлектроСеть
101;2025-04-04;3;1;21:45:00;14:34:49;14.597;52549;Обрыв провода;44165;1362;168;ясно;14;2.3;нет;Центральный р-н;аварийный;ГорЭлектроСеть
102;2025-11-19;102;25;00:49:00;17:22:27;16.5576;59607;Отключение МТЗ;113949;1900;382;пасмурно;5;3.3;нет;Южный мкр;текущий;ГорЭлектроСеть
103;2025-06-10;105;9;11:41:00;21:05:21;9.4059;33861;Обрыв провода;30264;2465;118;пасмурно;27;4.5;нет;ул. Жансугурова;текущий;РЭС
104;2025-08-28;3;8;09:33:00;10:45:00;1.2002;4320;Наезд авто на опору;6255;242;356;пасмурно;20;2.1;нет;мкр. Жастар;капитальный;РЭС
105;2025-12-20;9;1;04:46:00;19:00:18;14.2384;51258;Авария на подстанции;13925;1929;8;снегопад;-10;6.8;снег;мкр. Запад;текущий;Частный
106;2025-12-27;11;156;16:14:00;20:53:00;20.9;75240;Повреждение опоры;51721;1381;157;снегопад;-10;7.8;снег;ул. Жырау;текущий;Частный
107;2025-07-13;9;132;05:49:00;21:50:10;16.0196;57670;Отключение МТЗ (перегруз);114339;387;367;туман;34;0.1;нет;ТЭЦ-2;капитальный;ГорЭлектроСеть
108;2025-06-01;17;89;23:01:00;04:54:57;4.9328;17757;Плановый ремонт;14093;307;140;снегопад;32;12.0;снег;мкр. Жастар;плановый;РЭС
109;2025-02-23;158;8;02:08:00;21:03:48;18.9302;68148;Повреждение кабельной линии;76934;666;217;ясно;-12;1.3;нет;Северный мкр;плановый;ГорЭлектроСеть
110;2025-06-15;15;178;11:07:00;23:27:42;12.3452;44442;РПВ успешно;14803;1596;46;ясно;32;1.3;нет;ул. Толе би;капитальный;РЭС
111;2025-05-06;13;32;22:40:00;09:59:30;10.0084;36030;Повреждение кабельной линии;80177;646;382;туман;14;1.8;нет;ул. Жансугурова;капитальный;Частный
112;2025-02-23;3;89;22:37:00;23:18:20;0.689;2480;Плановый ремонт;6310;426;441;снегопад;-19;8.4;снег;промзона;капитальный;ГорЭлектроСеть
113;2025-11-05;102;45;00:55:00;01:52:46;0.963;3466;Повреждение опоры;2990;940;146;гроза;-7;8.0;дождь;ул. Пушкина;капитальный;РЭС
114;2025-09-22;2;156;13:44:00;10:21:16;10.3714;37336;Авария на подстанции;78554;1188;392;туман;19;0.3;нет;ул. Лермонтова;текущий;ЖКХ
115;2025-05-24;101;32;09:27:00;21:48:14;12.3542;44474;Повреждение изолятора;13787;1149;26;гроза;25;14.2;дождь;мкр. Восток;плановый;Частный
116;2025-04-12;110;32;00:54:00;05:27:23;4.5566;16403;Плановый ремонт;29213;1854;281;пасмурно;12;2.5;нет;мкр. Восток;капитальный;Частный
117;2025-02-26;105;32;10:14:00;12:16:30;2.0417;7350;Грозовое перенапряжение;7334;858;220;туман;-17;2.0;нет;ул. Жырау;аварийный;Частный
118;2025-02-16;3;178;01:13:00;12:56:08;11.7192;42188;Повреждение изолятора;27209;329;101;гроза;-13;8.4;дождь;мкр. Жастар;плановый;Частный
119;2025-11-12;152;89;16:33:00;20:19:03;3.7677;13563;Авария на подстанции;21858;1324;275;дождь;5;6.5;дождь;промзона;капитальный;ЖКХ
120;2025-01-21;110;8;06:11:00;15:45:08;9.5689;34448;Повреждение кабеля;103518;2406;447;пасмурно;-23;5.6;нет;ул. Лермонтова;капитальный;Частный
121;2025-02-27;2;132;04:39:00;06:25:19;1.772;6379;Падение дерева;16817;1402;433;снегопад;-19;6.7;снег;ул. Жырау;капитальный;Частный
122;2025-09-28;3;32;05:16:00;21:08:53;21.1649;76193;РПВ успешно;150708;514;336;дождь;18;6.4;дождь;Центральный р-н;плановый;РЭС
123;2025-08-08;152;8;01:28:00;22:57:18;21.4884;77358;Повреждение кабеля;126046;1336;381;ясно;25;0.8;нет;ул. Сатпаева;аварийный;Частный
124;2025-06-12;110;9;14:37:00;20:20:10;20.3528;73270;Повреждение кабельной линии;23312;249;80;снегопад;18;8.7;снег;мкр. Орбита;плановый;ЖКХ
125;2025-05-06;17;8;16:25:00;09:07:17;9.1383;32897;Отключение МТЗ (КЗ);22718;246;108;дождь;10;6.3;дождь;ул. Валиханова;текущий;ЖКХ
126;2025-12-28;5;32;09:36:00;14:55:16;14.9379;53776;РПВ успешно;37082;325;141;пасмурно;-15;3.9;нет;ул. Абая;аварийный;ЖКХ
127;2025-04-24;102;178;07:50:00;19:22:00;19.3833;69780;Грозовое перенапряжение;7943;34;22;дождь;14;3.5;дождь;ул. Лермонтова;капитальный;ГорЭлектроСеть
128;2025-01-27;5;89;06:15:00;18:09:28;11.908;42868;Отключение МТЗ (КЗ);13038;2242;8;гроза;-20;11.9;дождь;промзона;капитальный;Частный
129;2025-08-05;105;32;16:14:00;08:30:05;8.5182;30665;Отключение МТЗ (КЗ);9564;1824;22;туман;25;1.4;нет;мкр. Восток;плановый;Частный
130;2025-12-14;13;32;01:26:00;02:14:56;0.8157;2936;Авария на подстанции;5173;2301;345;снег;-9;3.9;снег;ул. Абая;плановый;Частный
131;2025-11-10;158;1;08:10:00;17:29:37;9.327;33577;Грозовое перенапряжение;44426;1522;243;гроза;-7;5.6;дождь;ул. Толе би;капитальный;ЖКХ
132;2025-02-26;15;9;09:53:00;11:48:01;1.9172;6901;РПВ успешно;19581;1282;447;гроза;-14;5.4;дождь;ул. Валиханова;капитальный;ГорЭлектроСеть
133;2025-06-07;101;156;16:25:00;20:55:54;20.9484;75414;Повреждение опоры;83540;1041;260;снегопад;20;8.2;снег;ул. Жансугурова;плановый;ГорЭлектроСеть
134;2025-02-15;2;8;20:26:00;22:24:28;1.9745;7108;Отключение МТЗ;11778;259;325;пасмурно;-21;3.9;нет;ул. Гагарина;капитальный;ЖКХ
135;2025-09-09;3;15;19:28:00;19:18:10;19.3197;69550;Повреждение изолятора;28722;1190;42;дождь;21;4.8;дождь;ул. Валиханова;аварийный;РЭС
136;2025-05-07;17;45;23:41:00;20:54:10;20.9197;75310;Плановый ремонт;134789;1578;315;туман;23;1.6;нет;Центральный р-н;текущий;ЖКХ
137;2025-09-08;5;25;10:13:00;11:25:24;1.2068;4344;Плановый ремонт;5438;964;215;снегопад;16;11.1;снег;ул. Толе би;аварийный;ГорЭлектроСеть
138;2025-02-25;11;45;07:54:00;09:55:37;2.0272;7297;Повреждение опоры;11278;1853;275;снег;-12;2.9;снег;ул. Толе би;текущий;РЭС
139;2025-11-17;110;45;08:28:00;16:02:56;16.0657;57836;Падение дерева;58273;1008;198;снег;3;3.7;снег;мкр. Орбита;плановый;ЖКХ
140;2025-02-13;7;45;02:10:00;06:29:18;4.3219;15558;Повреждение изолятора;4432;751;28;гроза;-21;10.0;дождь;промзона;плановый;Частный
141;2025-04-26;5;156;23:36:00;12:14:01;12.2505;44101;Повреждение кабеля;87896;1771;269;облачно;4;3.4;нет;мкр. Орбита;текущий;РЭС
142;2025-05-19;158;8;18:26:00;21:27:42;3.0284;10902;Обрыв провода;17559;288;323;снегопад;15;7.7;снег;ул. Жырау;плановый;Частный
143;2025-08-12;158;89;20:29:00;16:15:37;16.277;58597;Повреждение опоры;87235;1586;256;снег;33;5.5;снег;ул. Валиханова;плановый;РЭС
144;2025-07-11;3;32;02:57:00;05:48:04;2.8512;10264;РПВ успешно;5804;1019;99;пасмурно;30;5.2;нет;ул. Валиханова;плановый;ГорЭлектроСеть
145;2025-06-28;9;15;19:21:00;07:10:51;7.1976;25911;Падение дерева;19368;1309;171;облачно;22;3.3;нет;Центральный р-н;аварийный;ГорЭлектроСеть
146;2025-08-09;5;45;06:30:00;17:52:57;11.3826;40977;Повреждение трансформатора;71093;605;410;облачно;25;1.6;нет;ул. Гагарина;аварийный;РЭС
147;2025-09-29;110;67;05:05:00;22:43:51;22.7476;81891;Грозовое перенапряжение;58301;1132;120;пасмурно;16;2.4;нет;ул. Абая;плановый;ГорЭлектроСеть
148;2025-05-25;2;15;07:33:00;21:08:24;21.1568;76164;Обрыв провода;113572;285;247;туман;11;1.0;нет;ул. Жансугурова;капитальный;Частный
149;2025-05-25;13;199;01:26:00;06:43:42;5.2951;19062;Отключение МТЗ (КЗ);16128;1704;197;дождь;12;7.3;дождь;ул. Сатпаева;капитальный;РЭС
150;2025-02-06;7;156;17:20:00;17:51:44;17.8791;64364;Авария на подстанции;140947;2128;406;дождь;-9;4.3;дождь;ТЭЦ-2;плановый;РЭС
151;2025-07-19;9;132;03:52:00;23:53:44;23.9125;86084;Повреждение трансформатора;174384;1233;288;ясно;27;0.8;нет;ул. Жырау;капитальный;ЖКХ
152;2025-10-29;2;178;16:56:00;13:59:00;14.0001;50400;Плановый ремонт;71632;83;371;снег;12;2.0;снег;ул. Абая;аварийный;Частный
153;2025-12-28;158;9;13:37:00;14:28:08;0.8523;3068;Падение дерева;3485;14;276;снегопад;-14;8.7;снег;ул. Толе би;аварийный;Частный
154;2025-08-09;158;156;08:54:00;10:09:43;1.262;4543;Отключение МТЗ (перегруз);5323;1484;161;туман;18;1.7;нет;мкр. Жастар;текущий;Частный
155;2025-05-20;15;178;17:58:00;10:57:24;10.9735;39504;Отключение МТЗ (перегруз);24827;1060;113;облачно;11;2.0;нет;мкр. Восток;плановый;ЖКХ
156;2025-09-10;9;199;00:22:00;22:42:34;22.3429;80434;Плановый ремонт;29731;1166;21;гроза;18;11.3;дождь;ул. Пушкина;текущий;РЭС
157;2025-04-10;9;178;05:50:00;16:33:28;10.7247;38608;Отключение МТЗ (перегруз);70822;939;374;облачно;7;3.3;нет;ул. Сатпаева;капитальный;ГорЭлектроСеть
158;2025-05-05;13;178;16:35:00;08:31:06;8.5351;30726;Отключение МТЗ (КЗ);23535;585;200;туман;10;2.0;нет;ул. Абая;аварийный;ГорЭлектроСеть
159;2025-06-03;158;15;03:26:00;22:48:44;19.3791;69764;Падение дерева;116971;2247;234;пасмурно;22;3.5;нет;ул. Лермонтова;текущий;ГорЭлектроСеть
160;2025-01-19;17;156;00:35:00;10:47:14;10.2041;36734;Плановый ремонт;26519;1252;146;дождь;-12;4.1;дождь;ул. Сатпаева;капитальный;РЭС
161;2025-11-15;15;45;02:51:00;14:08:02;11.284;40622;Грозовое перенапряжение;66283;1390;271;гроза;-4;9.1;дождь;ул. Гагарина;капитальный;ЖКХ
